species,longitude,latitude,year,source
Desmodus rotundus,-39.438056,-12.964444,2015,portalbio
Desmodus rotundus,-39.438056,-12.964444,2015,portalbio
Desmodus rotundus,-39.473333,-12.900278,2015,portalbio
Desmodus rotundus,-39.473333,-12.900278,2015,portalbio
Desmodus rotundus,-43.404517,-22.939964,2008,portalbio
Desmodus rotundus,-43.404517,-22.939964,2009,portalbio
Desmodus rotundus,-43.404517,-22.939964,2009,portalbio
Desmodus rotundus,-48.801111,-22.5875,2007,portalbio
Desmodus rotundus,-48.801108,-22.5875,2008,portalbio
Desmodus rotundus,-48.801111,-22.5875,2009,portalbio
Desmodus rotundus,-39.395278,-12.969444,2014,portalbio
Desmodus rotundus,-37.95,-11.066667,2011,portalbio
Desmodus rotundus,-39.458056,-13.8975,2013,portalbio
Desmodus rotundus,-41.420411,-17.079264,2009,portalbio
Desmodus rotundus,-67.632994,-9.765719,2014,portalbio
Desmodus rotundus,-67.632992,-9.765717,2014,portalbio
Desmodus rotundus,-43.909722,-14.860278,2013,portalbio
Desmodus rotundus,-43.909722,-14.860278,2013,portalbio
Desmodus rotundus,-37.456389,-7.088611,2011,portalbio
Desmodus rotundus,-37.456389,-7.088611,2013,portalbio
Desmodus rotundus,-37.456389,-7.088611,2012,portalbio
Desmodus rotundus,-43.716111,-19.171111,2012,portalbio
Desmodus rotundus,-43.716111,-19.171111,2013,portalbio
Desmodus rotundus,-43.716111,-19.171111,2012,portalbio
Desmodus rotundus,-38.216389,-7.029167,2013,portalbio
Desmodus rotundus,-44.005,-14.848889,2009,portalbio
Desmodus rotundus,-42.379742,-22.650639,2013,portalbio
Desmodus rotundus,-43.75,-20.416667,2014,portalbio
Desmodus rotundus,-55.906936,-16.893956,2014,portalbio
Desmodus rotundus,-46.122665,-23.820079,2015,portalbio
Desmodus rotundus,-67.653606,-10.110164,2014,portalbio
Desmodus rotundus,-67.653606,-10.110164,2014,portalbio
Desmodus rotundus,-51.29,-25.111942,2014,portalbio
Desmodus rotundus,-46.105056,-14.548358,2014,portalbio
Desmodus rotundus,-46.105056,-14.548361,2014,portalbio
Desmodus rotundus,-38.036106,-12.568056,2015,portalbio
