id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,spatial_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary,lon,lat,bias_filter
82,Desmodus rotundus,-44.9352989196777,-19.2243995666504,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-44.9352989196777,-19.2243995666504,TRUE
83,Desmodus rotundus,-49.1178016662598,-5.36860990524292,2012,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.1178016662598,-5.36860990524292,TRUE
84,Desmodus rotundus,-66.58333,8.66667,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-66.58333,8.66667,TRUE
85,Desmodus rotundus,-48.75,-22.16667,1993,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-48.75,-22.16667,TRUE
86,Desmodus rotundus rotundus,-59,-23.36667,1973,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59,-23.36667,TRUE
87,Desmodus rotundus rotundus,-60.28333,-22.35,1973,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-60.28333,-22.35,TRUE
88,Desmodus rotundus rotundus,-78.1572,-4.45772,1977,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.1572,-4.45772,TRUE
89,Desmodus rotundus rotundus,-71.16667,8.5,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.16667,8.5,TRUE
90,Desmodus rotundus,-52.4067001342773,-28.2628002166748,2015,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-52.4067001342773,-28.2628002166748,TRUE
91,Desmodus rotundus,-43.3622016906738,-19.826099395752,2002,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.3622016906738,-19.826099395752,TRUE
