id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,.val,.equ,.zer,.dpl,.summary,lon,lat,bias_filter,sptdist_filter
605,desmodus_rotundus,-75.636772,-0.980115,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.636772,-0.980115,TRUE,TRUE
608,desmodus_rotundus,-89.270969,20.759895,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-89.270969,20.759895,TRUE,TRUE
619,desmodus_rotundus,-80.086475,-2.14528,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-80.086475,-2.14528,TRUE,TRUE
622,desmodus_rotundus,-55.484433,-20.46785,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-55.484433,-20.46785,TRUE,TRUE
630,desmodus_rotundus,-80.962108,7.592182,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-80.962108,7.592182,TRUE,TRUE
640,desmodus_rotundus,-72.086112,11.938965,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.086112,11.938965,TRUE,TRUE
652,desmodus_rotundus,-53.967222,-25.850687,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-53.967222,-25.850687,TRUE,TRUE
656,desmodus_rotundus,-75.434639,2.986916,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.434639,2.986916,TRUE,TRUE
663,desmodus_rotundus,-47.280173,-19.332268,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.280173,-19.332268,TRUE,TRUE
674,desmodus_rotundus,-73.402018,4.046452,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.402018,4.046452,TRUE,TRUE
677,desmodus_rotundus,-35.379254,-8.209257,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-35.379254,-8.209257,TRUE,TRUE
681,desmodus_rotundus,-87.363944,20.350168,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-87.363944,20.350168,TRUE,TRUE
689,desmodus_rotundus,-74.682117,9.978449,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-74.682117,9.978449,TRUE,TRUE
700,desmodus_rotundus,-80.239728,-4.262669,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-80.239728,-4.262669,TRUE,TRUE
707,desmodus_rotundus,-76.083417,4.333684,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-76.083417,4.333684,TRUE,TRUE
718,desmodus_rotundus,-75.705104,5.80971,2020,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.705104,5.80971,TRUE,TRUE
730,desmodus_rotundus,-78.660078,-4.248846,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.660078,-4.248846,TRUE,TRUE
746,desmodus_rotundus,-71.716669,6.576811,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.716669,6.576811,TRUE,TRUE
749,desmodus_rotundus,-77.210944,4.754278,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-77.210944,4.754278,TRUE,TRUE
753,desmodus_rotundus,-88.657695,17.763762,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-88.657695,17.763762,TRUE,TRUE
762,desmodus_rotundus,-75.408042,9.344717,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.408042,9.344717,TRUE,TRUE
771,desmodus_rotundus,-68.362878,10.885125,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-68.362878,10.885125,TRUE,TRUE
777,desmodus_rotundus,-88.661065,14.481943,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-88.661065,14.481943,TRUE,TRUE
778,desmodus_rotundus,-99.559995,20.161626,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-99.559995,20.161626,TRUE,TRUE
781,desmodus_rotundus,-98.259261,16.247044,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-98.259261,16.247044,TRUE,TRUE
789,desmodus_rotundus,-72.33453,5.55473,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.33453,5.55473,TRUE,TRUE
808,desmodus_rotundus,-47.321637,-3.052429,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.321637,-3.052429,TRUE,TRUE
810,desmodus_rotundus,-104.506633,22.279467,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.506633,22.279467,TRUE,TRUE
822,desmodus_rotundus,-75.683859,7.140095,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.683859,7.140095,TRUE,TRUE
835,desmodus_rotundus,-76.775909,-0.493059,2019,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-76.775909,-0.493059,TRUE,TRUE
858,desmodus_rotundus,-97.935239,17.687672,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-97.935239,17.687672,TRUE,TRUE
862,desmodus_rotundus,-79.205145,9.293906,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.205145,9.293906,TRUE,TRUE
869,desmodus_rotundus,-85.061578,11.011058,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-85.061578,11.011058,TRUE,TRUE
875,desmodus_rotundus,-73.443917,10.218406,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.443917,10.218406,TRUE,TRUE
881,desmodus_rotundus,-73.369667,7.082028,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.369667,7.082028,TRUE,TRUE
883,desmodus_rotundus,-75.258783,1.739,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.258783,1.739,TRUE,TRUE
901,desmodus_rotundus,-74.088444,6.433639,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-74.088444,6.433639,TRUE,TRUE
906,desmodus_rotundus,-59.67478,-22.541458,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59.67478,-22.541458,TRUE,TRUE
908,desmodus_rotundus,-46.173666,-22.963954,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-46.173666,-22.963954,TRUE,TRUE
919,desmodus_rotundus,-96.497029,16.387719,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-96.497029,16.387719,TRUE,TRUE
920,desmodus_rotundus,-41.497928,-12.594663,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-41.497928,-12.594663,TRUE,TRUE
921,desmodus_rotundus,-87.70466,14.33884,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-87.70466,14.33884,TRUE,TRUE
924,desmodus_rotundus,-38.484558,-7.52332,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-38.484558,-7.52332,TRUE,TRUE
942,desmodus_rotundus,-75.622922,8.318216,2018,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-75.622922,8.318216,TRUE,TRUE
946,desmodus_rotundus,-83.601708,9.05623,2017,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-83.601708,9.05623,TRUE,TRUE
951,desmodus_rotundus,-76.070988,1.865459,2017,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-76.070988,1.865459,TRUE,TRUE
954,desmodus_rotundus,-72.592383,4.478733,2017,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.592383,4.478733,TRUE,TRUE
